{cycles = 0xe9f6a9e, diff_cycles = 0x1, operation = 0x80282ec "Reset usbBuffers", preempted_program_pointer = 0x801ab86, epnum = 0x2, is_in = 0x0, diff_usb = 0x0, expected_buff = 0x16, adj_usb_buff = 0x0, usb_buff = 0x16, dma_pos_at_usb = 0xa, buffer_processed_flag = 0x0, dma_isr_flag = 0x0, available_data_for_processing = 0x0, usb_available_lock = 0x1
{cycles = 0xe9f0cce, diff_cycles = 0x1282e, operation = 0x8027458 "IT", preempted_program_pointer = 0x8007d88, epnum = 0x28, is_in = 0x0, diff_usb = 0x0, expected_buff = 0x0, adj_usb_buff = 0x0, usb_buff = 0x0, dma_pos_at_usb = 0x0, buffer_processed_flag = 0x0, dma_isr_flag = 0x0, available_data_for_processing = 0x0, usb_available_lock = 0x0
{cycles = 0xe9f0cd0, diff_cycles = 0x12830, operation = 0x80274ec "SOF", preempted_program_pointer = 0x8007d88, epnum = 0x0, is_in = 0x0, diff_usb = 0x0, expected_buff = 0x0, adj_usb_buff = 0x0, usb_buff = 0x0, dma_pos_at_usb = 0x0, buffer_processed_flag = 0x0, dma_isr_flag = 0x0, available_data_for_processing = 0x0, usb_available_lock = 0x0
{cycles = 0xe9f0d4a, diff_cycles = 0x128aa, operation = 0x8027458 "IT", preempted_program_pointer = 0x8007c52, epnum = 0x28, is_in = 0x0, diff_usb = 0x0, expected_buff = 0x0, adj_usb_buff = 0x0, usb_buff = 0x0, dma_pos_at_usb = 0x0, buffer_processed_flag = 0x0, dma_isr_flag = 0x0, available_data_for_processing = 0x0, usb_available_lock = 0x0
{cycles = 0xe9f0d4d, diff_cycles = 0x128ad, operation = 0x80274ec "SOF", preempted_program_pointer = 0x8007c52, epnum = 0x0, is_in = 0x0, diff_usb = 0x0, expected_buff = 0x0, adj_usb_buff = 0x0, usb_buff = 0x0, dma_pos_at_usb = 0x0, buffer_processed_flag = 0x0, dma_isr_flag = 0x0, available_data_for_processing = 0x0, usb_available_lock = 0x0
{cycles = 0xe9f0d54, diff_cycles = 0x128b4, operation = 0x8027458 "IT", preempted_program_pointer = 0x8007c82, epnum = 0x30, is_in = 0x0, diff_usb = 0x0, expected_buff = 0x0, adj_usb_buff = 0x0, usb_buff = 0x0, dma_pos_at_usb = 0x0, buffer_processed_flag = 0x0, dma_isr_flag = 0x0, available_data_for_processing = 0x0, usb_available_lock = 0x0
{cycles = 0xe9f0d56, diff_cycles = 0x128b6, operation = 0x802745c "GRXSTSP", preempted_program_pointer = 0x8007c82, epnum = 0x2, is_in = 0x0, diff_usb = 0x0, expected_buff = 0x0, adj_usb_buff = 0x0, usb_buff = 0x0, dma_pos_at_usb = 0x0, buffer_processed_flag = 0x0, dma_isr_flag = 0x0, available_data_for_processing = 0x0, usb_available_lock = 0x0
{cycles = 0xe9f0d57, diff_cycles = 0x128b7, operation = 0x8027464 "RXFLVL", preempted_program_pointer = 0x8007c82, epnum = 0x6, is_in = 0x0, diff_usb = 0x0, expected_buff = 0x0, adj_usb_buff = 0x0, usb_buff = 0x0, dma_pos_at_usb = 0x0, buffer_processed_flag = 0x0, dma_isr_flag = 0x0, available_data_for_processing = 0x0, usb_available_lock = 0x0
{cycles = 0xe9f0d5d, diff_cycles = 0x128bd, operation = 0x8027458 "IT", preempted_program_pointer = 0x8007c82, epnum = 0x30, is_in = 0x0, diff_usb = 0x0, expected_buff = 0x0, adj_usb_buff = 0x0, usb_buff = 0x0, dma_pos_at_usb = 0x0, buffer_processed_flag = 0x0, dma_isr_flag = 0x0, available_data_for_processing = 0x0, usb_available_lock = 0x0
{cycles = 0xe9f0d5e, diff_cycles = 0x128be, operation = 0x802745c "GRXSTSP", preempted_program_pointer = 0x8007c82, epnum = 0x3, is_in = 0x0, diff_usb = 0x0, expected_buff = 0x0, adj_usb_buff = 0x0, usb_buff = 0x0, dma_pos_at_usb = 0x0, buffer_processed_flag = 0x0, dma_isr_flag = 0x0, available_data_for_processing = 0x0, usb_available_lock = 0x0
{cycles = 0xe9f0d61, diff_cycles = 0x128c1, operation = 0x802747c "XFRC", preempted_program_pointer = 0x8007c82, epnum = 0x6, is_in = 0x0, diff_usb = 0x0, expected_buff = 0x0, adj_usb_buff = 0x0, usb_buff = 0x0, dma_pos_at_usb = 0x0, buffer_processed_flag = 0x0, dma_isr_flag = 0x0, available_data_for_processing = 0x0, usb_available_lock = 0x0
{cycles = 0xe9f0d65, diff_cycles = 0x128c5, operation = 0x8027628 "Feedback OUT", preempted_program_pointer = 0x8007c82, epnum = 0x1, is_in = 0x0, diff_usb = 0x1, expected_buff = 0x1c, adj_usb_buff = 0x1d, usb_buff = 0x1d, dma_pos_at_usb = 0x10, buffer_processed_flag = 0x1, dma_isr_flag = 0x0, available_data_for_processing = 0x30, usb_available_lock = 0x0
{cycles = 0xe9f0d6a, diff_cycles = 0x128ca, operation = 0x8027638 "Write usbBuffers", preempted_program_pointer = 0x8007c82, epnum = 0x1, is_in = 0x0, diff_usb = 0x0, expected_buff = 0x0, adj_usb_buff = 0x0, usb_buff = 0x4d, dma_pos_at_usb = 0x11, buffer_processed_flag = 0x0, dma_isr_flag = 0x0, available_data_for_processing = 0x0, usb_available_lock = 0x0
{cycles = 0xe9f0d6d, diff_cycles = 0x128cd, operation = 0x8027458 "IT", preempted_program_pointer = 0x8007c82, epnum = 0x20, is_in = 0x0, diff_usb = 0x0, expected_buff = 0x0, adj_usb_buff = 0x0, usb_buff = 0x0, dma_pos_at_usb = 0x0, buffer_processed_flag = 0x0, dma_isr_flag = 0x0, available_data_for_processing = 0x0, usb_available_lock = 0x0
{cycles = 0xe9f0dc7, diff_cycles = 0x12927, operation = 0x8027458 "IT", preempted_program_pointer = 0x8007c54, epnum = 0x28, is_in = 0x0, diff_usb = 0x0, expected_buff = 0x0, adj_usb_buff = 0x0, usb_buff = 0x0, dma_pos_at_usb = 0x0, buffer_processed_flag = 0x0, dma_isr_flag = 0x0, available_data_for_processing = 0x0, usb_available_lock = 0x0
{cycles = 0xe9f0dca, diff_cycles = 0x1292a, operation = 0x80274ec "SOF", preempted_program_pointer = 0x8007c54, epnum = 0x0, is_in = 0x0, diff_usb = 0x0, expected_buff = 0x0, adj_usb_buff = 0x0, usb_buff = 0x0, dma_pos_at_usb = 0x0, buffer_processed_flag = 0x0, dma_isr_flag = 0x0, available_data_for_processing = 0x0, usb_available_lock = 0x0
{cycles = 0xe9f0e44, diff_cycles = 0x129a4, operation = 0x8027458 "IT", preempted_program_pointer = 0x8007c70, epnum = 0x28, is_in = 0x0, diff_usb = 0x0, expected_buff = 0x0, adj_usb_buff = 0x0, usb_buff = 0x0, dma_pos_at_usb = 0x0, buffer_processed_flag = 0x0, dma_isr_flag = 0x0, available_data_for_processing = 0x0, usb_available_lock = 0x0
{cycles = 0xe9f0e46, diff_cycles = 0x129a6, operation = 0x80274ec "SOF", preempted_program_pointer = 0x8007c70, epnum = 0x0, is_in = 0x0, diff_usb = 0x0, expected_buff = 0x0, adj_usb_buff = 0x0, usb_buff = 0x0, dma_pos_at_usb = 0x0, buffer_processed_flag = 0x0, dma_isr_flag = 0x0, available_data_for_processing = 0x0, usb_available_lock = 0x0
{cycles = 0xe9f0ec1, diff_cycles = 0x12a21, operation = 0x8027458 "IT", preempted_program_pointer = 0x8007c5a, epnum = 0x28, is_in = 0x0, diff_usb = 0x0, expected_buff = 0x0, adj_usb_buff = 0x0, usb_buff = 0x0, dma_pos_at_usb = 0x0, buffer_processed_flag = 0x0, dma_isr_flag = 0x0, available_data_for_processing = 0x0, usb_available_lock = 0x0
{cycles = 0xe9f0ec3, diff_cycles = 0x12a23, operation = 0x80274ec "SOF", preempted_program_pointer = 0x8007c5a, epnum = 0x0, is_in = 0x0, diff_usb = 0x0, expected_buff = 0x0, adj_usb_buff = 0x0, usb_buff = 0x0, dma_pos_at_usb = 0x0, buffer_processed_flag = 0x0, dma_isr_flag = 0x0, available_data_for_processing = 0x0, usb_available_lock = 0x0
{cycles = 0xe9f0f3e, diff_cycles = 0x12a9e, operation = 0x8027458 "IT", preempted_program_pointer = 0x8007d8e, epnum = 0x28, is_in = 0x0, diff_usb = 0x0, expected_buff = 0x0, adj_usb_buff = 0x0, usb_buff = 0x0, dma_pos_at_usb = 0x0, buffer_processed_flag = 0x0, dma_isr_flag = 0x0, available_data_for_processing = 0x0, usb_available_lock = 0x0
{cycles = 0xe9f0f40, diff_cycles = 0x12aa0, operation = 0x80274ec "SOF", preempted_program_pointer = 0x8007d8e, epnum = 0x0, is_in = 0x0, diff_usb = 0x0, expected_buff = 0x0, adj_usb_buff = 0x0, usb_buff = 0x0, dma_pos_at_usb = 0x0, buffer_processed_flag = 0x0, dma_isr_flag = 0x0, available_data_for_processing = 0x0, usb_available_lock = 0x0
{cycles = 0xe9f0fbb, diff_cycles = 0x12b1b, operation = 0x8027458 "IT", preempted_program_pointer = 0x8007c62, epnum = 0x28, is_in = 0x0, diff_usb = 0x0, expected_buff = 0x0, adj_usb_buff = 0x0, usb_buff = 0x0, dma_pos_at_usb = 0x0, buffer_processed_flag = 0x0, dma_isr_flag = 0x0, available_data_for_processing = 0x0, usb_available_lock = 0x0
{cycles = 0xe9f0fbe, diff_cycles = 0x12b1e, operation = 0x80274ec "SOF", preempted_program_pointer = 0x8007c62, epnum = 0x0, is_in = 0x0, diff_usb = 0x0, expected_buff = 0x0, adj_usb_buff = 0x0, usb_buff = 0x0, dma_pos_at_usb = 0x0, buffer_processed_flag = 0x0, dma_isr_flag = 0x0, available_data_for_processing = 0x0, usb_available_lock = 0x0
{cycles = 0xe9f0fee, diff_cycles = 0x12b4e, operation = 0x8028528 "Audio Processing start", preempted_program_pointer = 0x0, epnum = 0x0, is_in = 0x0, diff_usb = 0x0, expected_buff = 0x0, adj_usb_buff = 0x0, usb_buff = 0x0, dma_pos_at_usb = 0x0, buffer_processed_flag = 0x0, dma_isr_flag = 0x0, available_data_for_processing = 0x0, usb_available_lock = 0x0
{cycles = 0xe9f0ff2, diff_cycles = 0x12b52, operation = 0x8027618 "Read usbBuffers", preempted_program_pointer = 0x0, epnum = 0x0, is_in = 0x0, diff_usb = 0x0, expected_buff = 0x0, adj_usb_buff = 0x0, usb_buff = 0x0, dma_pos_at_usb = 0x0, buffer_processed_flag = 0x0, dma_isr_flag = 0x0, available_data_for_processing = 0x0, usb_available_lock = 0x0
{cycles = 0xe9f0ff7, diff_cycles = 0x12b57, operation = 0x8027618 "Read usbBuffers", preempted_program_pointer = 0x0, epnum = 0x1, is_in = 0x0, diff_usb = 0x0, expected_buff = 0x0, adj_usb_buff = 0x0, usb_buff = 0x1d, dma_pos_at_usb = 0x0, buffer_processed_flag = 0x0, dma_isr_flag = 0x0, available_data_for_processing = 0x0, usb_available_lock = 0x0
{cycles = 0xe9f1039, diff_cycles = 0x12b99, operation = 0x8027458 "IT", preempted_program_pointer = 0x8016e00, epnum = 0x28, is_in = 0x0, diff_usb = 0x0, expected_buff = 0x0, adj_usb_buff = 0x0, usb_buff = 0x0, dma_pos_at_usb = 0x0, buffer_processed_flag = 0x0, dma_isr_flag = 0x0, available_data_for_processing = 0x0, usb_available_lock = 0x0
{cycles = 0xe9f103b, diff_cycles = 0x12b9b, operation = 0x80274ec "SOF", preempted_program_pointer = 0x8016e00, epnum = 0x0, is_in = 0x0, diff_usb = 0x0, expected_buff = 0x0, adj_usb_buff = 0x0, usb_buff = 0x0, dma_pos_at_usb = 0x0, buffer_processed_flag = 0x0, dma_isr_flag = 0x0, available_data_for_processing = 0x0, usb_available_lock = 0x0
{cycles = 0xe9f1091, diff_cycles = 0x12bf1, operation = 0x8027638 "Write usbBuffers", preempted_program_pointer = 0x0, epnum = 0x2, is_in = 0x0, diff_usb = 0x0, expected_buff = 0x0, adj_usb_buff = 0x0, usb_buff = 0x8f, dma_pos_at_usb = 0x7, buffer_processed_flag = 0x0, dma_isr_flag = 0x0, available_data_for_processing = 0x0, usb_available_lock = 0x0
{cycles = 0xe9f1094, diff_cycles = 0x12bf4, operation = 0x80286e8 "Audio Processing end", preempted_program_pointer = 0x0, epnum = 0x0, is_in = 0x0, diff_usb = 0x0, expected_buff = 0x0, adj_usb_buff = 0x0, usb_buff = 0x0, dma_pos_at_usb = 0x0, buffer_processed_flag = 0x0, dma_isr_flag = 0x0, available_data_for_processing = 0x0, usb_available_lock = 0x0
{cycles = 0xe9f10b6, diff_cycles = 0x12c16, operation = 0x8027458 "IT", preempted_program_pointer = 0x8007d92, epnum = 0x28, is_in = 0x0, diff_usb = 0x0, expected_buff = 0x0, adj_usb_buff = 0x0, usb_buff = 0x0, dma_pos_at_usb = 0x0, buffer_processed_flag = 0x0, dma_isr_flag = 0x0, available_data_for_processing = 0x0, usb_available_lock = 0x0
{cycles = 0xe9f10b8, diff_cycles = 0x12c18, operation = 0x80274ec "SOF", preempted_program_pointer = 0x8007d92, epnum = 0x0, is_in = 0x0, diff_usb = 0x0, expected_buff = 0x0, adj_usb_buff = 0x0, usb_buff = 0x0, dma_pos_at_usb = 0x0, buffer_processed_flag = 0x0, dma_isr_flag = 0x0, available_data_for_processing = 0x0, usb_available_lock = 0x0
{cycles = 0xe9f1132, diff_cycles = 0x12c92, operation = 0x8027458 "IT", preempted_program_pointer = 0x8007c86, epnum = 0x28, is_in = 0x0, diff_usb = 0x0, expected_buff = 0x0, adj_usb_buff = 0x0, usb_buff = 0x0, dma_pos_at_usb = 0x0, buffer_processed_flag = 0x0, dma_isr_flag = 0x0, available_data_for_processing = 0x0, usb_available_lock = 0x0
{cycles = 0xe9f1135, diff_cycles = 0x12c95, operation = 0x80274ec "SOF", preempted_program_pointer = 0x8007c86, epnum = 0x0, is_in = 0x0, diff_usb = 0x0, expected_buff = 0x0, adj_usb_buff = 0x0, usb_buff = 0x0, dma_pos_at_usb = 0x0, buffer_processed_flag = 0x0, dma_isr_flag = 0x0, available_data_for_processing = 0x0, usb_available_lock = 0x0
{cycles = 0xe9f113b, diff_cycles = 0x12c9b, operation = 0x8027458 "IT", preempted_program_pointer = 0x8007f56, epnum = 0x30, is_in = 0x0, diff_usb = 0x0, expected_buff = 0x0, adj_usb_buff = 0x0, usb_buff = 0x0, dma_pos_at_usb = 0x0, buffer_processed_flag = 0x0, dma_isr_flag = 0x0, available_data_for_processing = 0x0, usb_available_lock = 0x0
{cycles = 0xe9f113d, diff_cycles = 0x12c9d, operation = 0x802745c "GRXSTSP", preempted_program_pointer = 0x8007f56, epnum = 0x2, is_in = 0x0, diff_usb = 0x0, expected_buff = 0x0, adj_usb_buff = 0x0, usb_buff = 0x0, dma_pos_at_usb = 0x0, buffer_processed_flag = 0x0, dma_isr_flag = 0x0, available_data_for_processing = 0x0, usb_available_lock = 0x0
{cycles = 0xe9f113e, diff_cycles = 0x12c9e, operation = 0x8027464 "RXFLVL", preempted_program_pointer = 0x8007f56, epnum = 0x6, is_in = 0x0, diff_usb = 0x0, expected_buff = 0x0, adj_usb_buff = 0x0, usb_buff = 0x0, dma_pos_at_usb = 0x0, buffer_processed_flag = 0x0, dma_isr_flag = 0x0, available_data_for_processing = 0x0, usb_available_lock = 0x0
{cycles = 0xe9f1144, diff_cycles = 0x12ca4, operation = 0x8027458 "IT", preempted_program_pointer = 0x8007f56, epnum = 0x30, is_in = 0x0, diff_usb = 0x0, expected_buff = 0x0, adj_usb_buff = 0x0, usb_buff = 0x0, dma_pos_at_usb = 0x0, buffer_processed_flag = 0x0, dma_isr_flag = 0x0, available_data_for_processing = 0x0, usb_available_lock = 0x0
{cycles = 0xe9f1146, diff_cycles = 0x12ca6, operation = 0x802745c "GRXSTSP", preempted_program_pointer = 0x8007f56, epnum = 0x3, is_in = 0x0, diff_usb = 0x0, expected_buff = 0x0, adj_usb_buff = 0x0, usb_buff = 0x0, dma_pos_at_usb = 0x0, buffer_processed_flag = 0x0, dma_isr_flag = 0x0, available_data_for_processing = 0x0, usb_available_lock = 0x0
{cycles = 0xe9f1148, diff_cycles = 0x12ca8, operation = 0x802747c "XFRC", preempted_program_pointer = 0x8007f56, epnum = 0x6, is_in = 0x0, diff_usb = 0x0, expected_buff = 0x0, adj_usb_buff = 0x0, usb_buff = 0x0, dma_pos_at_usb = 0x0, buffer_processed_flag = 0x0, dma_isr_flag = 0x0, available_data_for_processing = 0x0, usb_available_lock = 0x0
{cycles = 0xe9f114b, diff_cycles = 0x12cab, operation = 0x8027628 "Feedback OUT", preempted_program_pointer = 0x8007f56, epnum = 0x1, is_in = 0x0, diff_usb = 0x1, expected_buff = 0x1c, adj_usb_buff = 0x1d, usb_buff = 0x1d, dma_pos_at_usb = 0x10, buffer_processed_flag = 0x1, dma_isr_flag = 0x0, available_data_for_processing = 0x30, usb_available_lock = 0x0
{cycles = 0xe9f1150, diff_cycles = 0x12cb0, operation = 0x8027638 "Write usbBuffers", preempted_program_pointer = 0x8007f56, epnum = 0x1, is_in = 0x0, diff_usb = 0x0, expected_buff = 0x0, adj_usb_buff = 0x0, usb_buff = 0x4d, dma_pos_at_usb = 0x11, buffer_processed_flag = 0x0, dma_isr_flag = 0x0, available_data_for_processing = 0x0, usb_available_lock = 0x0
{cycles = 0xe9f1154, diff_cycles = 0x12cb4, operation = 0x8027458 "IT", preempted_program_pointer = 0x8007f56, epnum = 0x20, is_in = 0x0, diff_usb = 0x0, expected_buff = 0x0, adj_usb_buff = 0x0, usb_buff = 0x0, dma_pos_at_usb = 0x0, buffer_processed_flag = 0x0, dma_isr_flag = 0x0, available_data_for_processing = 0x0, usb_available_lock = 0x0
{cycles = 0xe9f11af, diff_cycles = 0x12d0f, operation = 0x8027458 "IT", preempted_program_pointer = 0x8007c6c, epnum = 0x28, is_in = 0x0, diff_usb = 0x0, expected_buff = 0x0, adj_usb_buff = 0x0, usb_buff = 0x0, dma_pos_at_usb = 0x0, buffer_processed_flag = 0x0, dma_isr_flag = 0x0, available_data_for_processing = 0x0, usb_available_lock = 0x0
{cycles = 0xe9f11b2, diff_cycles = 0x12d12, operation = 0x80274ec "SOF", preempted_program_pointer = 0x8007c6c, epnum = 0x0, is_in = 0x0, diff_usb = 0x0, expected_buff = 0x0, adj_usb_buff = 0x0, usb_buff = 0x0, dma_pos_at_usb = 0x0, buffer_processed_flag = 0x0, dma_isr_flag = 0x0, available_data_for_processing = 0x0, usb_available_lock = 0x0
{cycles = 0xe9f122c, diff_cycles = 0x12d8c, operation = 0x8027458 "IT", preempted_program_pointer = 0x8007c70, epnum = 0x28, is_in = 0x0, diff_usb = 0x0, expected_buff = 0x0, adj_usb_buff = 0x0, usb_buff = 0x0, dma_pos_at_usb = 0x0, buffer_processed_flag = 0x0, dma_isr_flag = 0x0, available_data_for_processing = 0x0, usb_available_lock = 0x0
{cycles = 0xe9f122e, diff_cycles = 0x12d8e, operation = 0x80274ec "SOF", preempted_program_pointer = 0x8007c70, epnum = 0x0, is_in = 0x0, diff_usb = 0x0, expected_buff = 0x0, adj_usb_buff = 0x0, usb_buff = 0x0, dma_pos_at_usb = 0x0, buffer_processed_flag = 0x0, dma_isr_flag = 0x0, available_data_for_processing = 0x0, usb_available_lock = 0x0
{cycles = 0xe9f12a9, diff_cycles = 0x12e09, operation = 0x8027458 "IT", preempted_program_pointer = 0x8007d8c, epnum = 0x28, is_in = 0x0, diff_usb = 0x0, expected_buff = 0x0, adj_usb_buff = 0x0, usb_buff = 0x0, dma_pos_at_usb = 0x0, buffer_processed_flag = 0x0, dma_isr_flag = 0x0, available_data_for_processing = 0x0, usb_available_lock = 0x0
{cycles = 0xe9f12ab, diff_cycles = 0x12e0b, operation = 0x80274ec "SOF", preempted_program_pointer = 0x8007d8c, epnum = 0x0, is_in = 0x0, diff_usb = 0x0, expected_buff = 0x0, adj_usb_buff = 0x0, usb_buff = 0x0, dma_pos_at_usb = 0x0, buffer_processed_flag = 0x0, dma_isr_flag = 0x0, available_data_for_processing = 0x0, usb_available_lock = 0x0
{cycles = 0xe9f1326, diff_cycles = 0x12e86, operation = 0x8027458 "IT", preempted_program_pointer = 0x8007ea6, epnum = 0x28, is_in = 0x0, diff_usb = 0x0, expected_buff = 0x0, adj_usb_buff = 0x0, usb_buff = 0x0, dma_pos_at_usb = 0x0, buffer_processed_flag = 0x0, dma_isr_flag = 0x0, available_data_for_processing = 0x0, usb_available_lock = 0x0
{cycles = 0xe9f1328, diff_cycles = 0x12e88, operation = 0x80274ec "SOF", preempted_program_pointer = 0x8007ea6, epnum = 0x0, is_in = 0x0, diff_usb = 0x0, expected_buff = 0x0, adj_usb_buff = 0x0, usb_buff = 0x0, dma_pos_at_usb = 0x0, buffer_processed_flag = 0x0, dma_isr_flag = 0x0, available_data_for_processing = 0x0, usb_available_lock = 0x0
{cycles = 0xe9f13a3, diff_cycles = 0x12f03, operation = 0x8027458 "IT", preempted_program_pointer = 0x8007c70, epnum = 0x28, is_in = 0x0, diff_usb = 0x0, expected_buff = 0x0, adj_usb_buff = 0x0, usb_buff = 0x0, dma_pos_at_usb = 0x0, buffer_processed_flag = 0x0, dma_isr_flag = 0x0, available_data_for_processing = 0x0, usb_available_lock = 0x0
{cycles = 0xe9f13a6, diff_cycles = 0x12f06, operation = 0x80274ec "SOF", preempted_program_pointer = 0x8007c70, epnum = 0x0, is_in = 0x0, diff_usb = 0x0, expected_buff = 0x0, adj_usb_buff = 0x0, usb_buff = 0x0, dma_pos_at_usb = 0x0, buffer_processed_flag = 0x0, dma_isr_flag = 0x0, available_data_for_processing = 0x0, usb_available_lock = 0x0
{cycles = 0xe9f13d6, diff_cycles = 0x12f36, operation = 0x8028528 "Audio Processing start", preempted_program_pointer = 0x0, epnum = 0x0, is_in = 0x0, diff_usb = 0x0, expected_buff = 0x0, adj_usb_buff = 0x0, usb_buff = 0x0, dma_pos_at_usb = 0x0, buffer_processed_flag = 0x0, dma_isr_flag = 0x0, available_data_for_processing = 0x0, usb_available_lock = 0x0
{cycles = 0xe9f13da, diff_cycles = 0x12f3a, operation = 0x8027618 "Read usbBuffers", preempted_program_pointer = 0x0, epnum = 0x0, is_in = 0x0, diff_usb = 0x0, expected_buff = 0x0, adj_usb_buff = 0x0, usb_buff = 0x0, dma_pos_at_usb = 0x0, buffer_processed_flag = 0x0, dma_isr_flag = 0x0, available_data_for_processing = 0x0, usb_available_lock = 0x0
{cycles = 0xe9f13e0, diff_cycles = 0x12f40, operation = 0x8027618 "Read usbBuffers", preempted_program_pointer = 0x0, epnum = 0x1, is_in = 0x0, diff_usb = 0x0, expected_buff = 0x0, adj_usb_buff = 0x0, usb_buff = 0x1d, dma_pos_at_usb = 0x0, buffer_processed_flag = 0x0, dma_isr_flag = 0x0, available_data_for_processing = 0x0, usb_available_lock = 0x0
{cycles = 0xe9f1421, diff_cycles = 0x12f81, operation = 0x8027458 "IT", preempted_program_pointer = 0x801a6fc, epnum = 0x28, is_in = 0x0, diff_usb = 0x0, expected_buff = 0x0, adj_usb_buff = 0x0, usb_buff = 0x0, dma_pos_at_usb = 0x0, buffer_processed_flag = 0x0, dma_isr_flag = 0x0, available_data_for_processing = 0x0, usb_available_lock = 0x0
{cycles = 0xe9f1423, diff_cycles = 0x12f83, operation = 0x80274ec "SOF", preempted_program_pointer = 0x801a6fc, epnum = 0x0, is_in = 0x0, diff_usb = 0x0, expected_buff = 0x0, adj_usb_buff = 0x0, usb_buff = 0x0, dma_pos_at_usb = 0x0, buffer_processed_flag = 0x0, dma_isr_flag = 0x0, available_data_for_processing = 0x0, usb_available_lock = 0x0
{cycles = 0xe9f147a, diff_cycles = 0x12fda, operation = 0x8027638 "Write usbBuffers", preempted_program_pointer = 0x0, epnum = 0x2, is_in = 0x0, diff_usb = 0x0, expected_buff = 0x0, adj_usb_buff = 0x0, usb_buff = 0x8f, dma_pos_at_usb = 0x7, buffer_processed_flag = 0x0, dma_isr_flag = 0x0, available_data_for_processing = 0x0, usb_available_lock = 0x0
{cycles = 0xe9f147d, diff_cycles = 0x12fdd, operation = 0x80286e8 "Audio Processing end", preempted_program_pointer = 0x0, epnum = 0x0, is_in = 0x0, diff_usb = 0x0, expected_buff = 0x0, adj_usb_buff = 0x0, usb_buff = 0x0, dma_pos_at_usb = 0x0, buffer_processed_flag = 0x0, dma_isr_flag = 0x0, available_data_for_processing = 0x0, usb_available_lock = 0x0
{cycles = 0xe9f149e, diff_cycles = 0x12ffe, operation = 0x8027458 "IT", preempted_program_pointer = 0x8007c62, epnum = 0x28, is_in = 0x0, diff_usb = 0x0, expected_buff = 0x0, adj_usb_buff = 0x0, usb_buff = 0x0, dma_pos_at_usb = 0x0, buffer_processed_flag = 0x0, dma_isr_flag = 0x0, available_data_for_processing = 0x0, usb_available_lock = 0x0
{cycles = 0xe9f14a1, diff_cycles = 0x13001, operation = 0x80274ec "SOF", preempted_program_pointer = 0x8007c62, epnum = 0x0, is_in = 0x0, diff_usb = 0x0, expected_buff = 0x0, adj_usb_buff = 0x0, usb_buff = 0x0, dma_pos_at_usb = 0x0, buffer_processed_flag = 0x0, dma_isr_flag = 0x0, available_data_for_processing = 0x0, usb_available_lock = 0x0
{cycles = 0xe9f151a, diff_cycles = 0x1307a, operation = 0x8027458 "IT", preempted_program_pointer = 0x8007c6a, epnum = 0x28, is_in = 0x0, diff_usb = 0x0, expected_buff = 0x0, adj_usb_buff = 0x0, usb_buff = 0x0, dma_pos_at_usb = 0x0, buffer_processed_flag = 0x0, dma_isr_flag = 0x0, available_data_for_processing = 0x0, usb_available_lock = 0x0
{cycles = 0xe9f151d, diff_cycles = 0x1307d, operation = 0x80274ec "SOF", preempted_program_pointer = 0x8007c6a, epnum = 0x0, is_in = 0x0, diff_usb = 0x0, expected_buff = 0x0, adj_usb_buff = 0x0, usb_buff = 0x0, dma_pos_at_usb = 0x0, buffer_processed_flag = 0x0, dma_isr_flag = 0x0, available_data_for_processing = 0x0, usb_available_lock = 0x0
{cycles = 0xe9f1524, diff_cycles = 0x13084, operation = 0x8027458 "IT", preempted_program_pointer = 0x8007c70, epnum = 0x30, is_in = 0x0, diff_usb = 0x0, expected_buff = 0x0, adj_usb_buff = 0x0, usb_buff = 0x0, dma_pos_at_usb = 0x0, buffer_processed_flag = 0x0, dma_isr_flag = 0x0, available_data_for_processing = 0x0, usb_available_lock = 0x0
{cycles = 0xe9f1526, diff_cycles = 0x13086, operation = 0x802745c "GRXSTSP", preempted_program_pointer = 0x8007c70, epnum = 0x2, is_in = 0x0, diff_usb = 0x0, expected_buff = 0x0, adj_usb_buff = 0x0, usb_buff = 0x0, dma_pos_at_usb = 0x0, buffer_processed_flag = 0x0, dma_isr_flag = 0x0, available_data_for_processing = 0x0, usb_available_lock = 0x0
{cycles = 0xe9f1528, diff_cycles = 0x13088, operation = 0x8027464 "RXFLVL", preempted_program_pointer = 0x8007c70, epnum = 0x6, is_in = 0x0, diff_usb = 0x0, expected_buff = 0x0, adj_usb_buff = 0x0, usb_buff = 0x0, dma_pos_at_usb = 0x0, buffer_processed_flag = 0x0, dma_isr_flag = 0x0, available_data_for_processing = 0x0, usb_available_lock = 0x0
{cycles = 0xe9f152d, diff_cycles = 0x1308d, operation = 0x8027458 "IT", preempted_program_pointer = 0x8007c70, epnum = 0x30, is_in = 0x0, diff_usb = 0x0, expected_buff = 0x0, adj_usb_buff = 0x0, usb_buff = 0x0, dma_pos_at_usb = 0x0, buffer_processed_flag = 0x0, dma_isr_flag = 0x0, available_data_for_processing = 0x0, usb_available_lock = 0x0
{cycles = 0xe9f152f, diff_cycles = 0x1308f, operation = 0x802745c "GRXSTSP", preempted_program_pointer = 0x8007c70, epnum = 0x3, is_in = 0x0, diff_usb = 0x0, expected_buff = 0x0, adj_usb_buff = 0x0, usb_buff = 0x0, dma_pos_at_usb = 0x0, buffer_processed_flag = 0x0, dma_isr_flag = 0x0, available_data_for_processing = 0x0, usb_available_lock = 0x0
